step,type,country,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,unusuallogin,Acct type,Date of transaction,Time of day,DayOfWeek,IsFraud,errorBalanceOrig,errorBalanceDest,origBalanceWiped,destBalanceUnchanged,amountToBalanceRatio,isHighRiskType,nameDestIsMerchant
7,PAYMENT,Espana,1526.5,C1908839976,0.0,0.0,M1304522697,0.0,0.0,7,Savings,2018-01-03,Afternoon,3.0,0,1526.5,-1526.5,0,1,1526.5,0,1
7,PAYMENT,Honduras,1620.17,C70432899,0.0,0.0,M252297858,0.0,0.0,2,Savings,2018-01-05,Night,5.0,0,1620.17,-1620.17,0,1,1620.17,0,1
7,PAYMENT,Indonesia,5689.82,C332151172,0.0,0.0,M1430674428,0.0,0.0,3,Savings,2018-01-07,Morning,7.0,0,5689.82,-5689.82,0,1,5689.82,0,1
7,PAYMENT,Estados Unidos,2211.07,C1148172078,0.0,0.0,M650835126,0.0,0.0,13,Savings,2018-01-06,Afternoon,6.0,0,2211.07,-2211.07,0,1,2211.07,0,1
7,PAYMENT,Estados Unidos,824.63,C1142006014,0.0,0.0,M745868137,0.0,0.0,7,Savings,2018-01-06,Morning,6.0,0,824.63,-824.63,0,1,824.63,0,1
7,PAYMENT,Italia,10330.01,C712723382,0.0,0.0,M1705236425,0.0,0.0,2,Savings,2018-01-06,Night,6.0,0,10330.01,-10330.01,0,1,10330.01,0,1
7,PAYMENT,Francia,10536.99,C1416013849,0.0,0.0,M818628762,0.0,0.0,17,Savings,2018-01-08,Night,1.0,0,10536.99,-10536.99,0,1,10536.99,0,1
7,PAYMENT,Irlanda,12317.87,C1075676110,0.0,0.0,M997919131,0.0,0.0,4,Savings,2018-01-09,Afternoon,2.0,0,12317.87,-12317.87,0,1,12317.87,0,1
7,PAYMENT,Finlandia,9633.05,C1522288781,0.0,0.0,M819545304,0.0,0.0,3,Savings,2018-01-10,Night,3.0,0,9633.05,-9633.05,0,1,9633.05,0,1
7,PAYMENT,Espana,2515.77,C477541118,0.0,0.0,M2141341498,0.0,0.0,14,Savings,2018-01-11,Afternoon,4.0,0,2515.77,-2515.77,0,1,2515.77,0,1
7,PAYMENT,Francia,12241.43,C347035587,0.0,0.0,M2035894779,0.0,0.0,5,Savings,2018-01-13,Afternoon,6.0,0,12241.43,-12241.43,0,1,12241.43,0,1
7,PAYMENT,Alemania,2693.26,C1882802109,0.0,0.0,M254917009,0.0,0.0,1,Savings,2018-01-16,Afternoon,2.0,0,2693.26,-2693.26,0,1,2693.26,0,1
7,PAYMENT,Alemania,4798.8,C1186984840,0.0,0.0,M1367544605,0.0,0.0,4,Savings,2018-01-19,Afternoon,5.0,0,4798.8,-4798.8,0,1,4798.8,0,1
7,PAYMENT,Italia,5756.56,C1799201343,0.0,0.0,M1774347256,0.0,0.0,12,Savings,2018-01-25,Morning,4.0,0,5756.56,-5756.56,0,1,5756.56,0,1
7,PAYMENT,Alemania,25404.53,C1348009723,0.0,0.0,M428475414,0.0,0.0,10,Savings,2018-01-03,Night,3.0,0,25404.53,-25404.53,0,1,25404.53,0,1
7,PAYMENT,Mexico,827.69,C522219842,0.0,0.0,M1703353597,0.0,0.0,9,Savings,2018-01-05,Night,5.0,0,827.69,-827.69,0,1,827.69,0,1
7,PAYMENT,Peru,5501.2,C1916766608,0.0,0.0,M1004308853,0.0,0.0,1,Savings,2018-01-07,Afternoon,7.0,0,5501.2,-5501.2,0,1,5501.2,0,1
7,PAYMENT,Cuba,14766.83,C669668653,0.0,0.0,M2052572633,0.0,0.0,4,Savings,2018-01-06,Afternoon,6.0,0,14766.83,-14766.83,0,1,14766.83,0,1
7,PAYMENT,Nicaragua,10469.87,C1590977463,0.0,0.0,M451480761,0.0,0.0,2,Savings,2018-01-08,Afternoon,1.0,0,10469.87,-10469.87,0,1,10469.87,0,1
7,PAYMENT,Honduras,16319.94,C996328734,0.0,0.0,M8238713,0.0,0.0,13,Savings,2018-01-09,Morning,2.0,0,16319.94,-16319.94,0,1,16319.94,0,1
7,PAYMENT,El Salvador,9230.32,C49322247,0.0,0.0,M1867721054,0.0,0.0,10,Savings,2018-01-11,Afternoon,4.0,0,9230.32,-9230.32,0,1,9230.32,0,1
7,PAYMENT,Mexico,4800.76,C1137069423,0.0,0.0,M1797553910,0.0,0.0,19,Savings,2018-01-19,Afternoon,5.0,0,4800.76,-4800.76,0,1,4800.76,0,1
7,PAYMENT,Colombia,10156.0,C411382490,0.0,0.0,M252744319,0.0,0.0,4,Savings,2018-01-25,Morning,4.0,0,10156.0,-10156.0,0,1,10156.0,0,1
7,PAYMENT,Mexico,9414.48,C2118912967,0.0,0.0,M911673654,0.0,0.0,15,Savings,2018-01-03,Morning,3.0,0,9414.48,-9414.48,0,1,9414.48,0,1
7,PAYMENT,Ecuador,2674.73,C125173444,0.0,0.0,M209524543,0.0,0.0,1,Savings,2018-01-05,Morning,5.0,0,2674.73,-2674.73,0,1,2674.73,0,1
7,PAYMENT,Mexico,1571.83,C317794116,0.0,0.0,M476152469,0.0,0.0,9,Savings,2018-01-07,Night,7.0,0,1571.83,-1571.83,0,1,1571.83,0,1
7,PAYMENT,Venezuela,1803.28,C877317123,0.0,0.0,M1357570394,0.0,0.0,8,Savings,2018-01-06,Night,6.0,0,1803.28,-1803.28,0,1,1803.28,0,1
7,PAYMENT,Honduras,3633.39,C1270490884,0.0,0.0,M1532977612,0.0,0.0,12,Savings,2018-01-06,Afternoon,6.0,0,3633.39,-3633.39,0,1,3633.39,0,1
7,PAYMENT,Cuba,3169.16,C182834500,0.0,0.0,M1525421339,0.0,0.0,10,Savings,2018-01-07,Morning,7.0,0,3169.16,-3169.16,0,1,3169.16,0,1
7,PAYMENT,Nicaragua,17036.48,C428035767,0.0,0.0,M641078642,0.0,0.0,2,Savings,2018-01-16,Afternoon,2.0,0,17036.48,-17036.48,0,1,17036.48,0,1
7,PAYMENT,El Salvador,27888.72,C1573405835,0.0,0.0,M807771233,0.0,0.0,8,Savings,2018-01-19,Afternoon,5.0,0,27888.72,-27888.72,0,1,27888.72,0,1
7,PAYMENT,Bolivia,1847.37,C298060389,0.0,0.0,M1757653560,0.0,0.0,3,Savings,2018-01-05,Afternoon,5.0,0,1847.37,-1847.37,0,1,1847.37,0,1
7,PAYMENT,Australia,23513.69,C264092188,0.0,0.0,M277861845,0.0,0.0,2,Savings,2018-01-03,Night,3.0,0,23513.69,-23513.69,0,1,23513.69,0,1
7,PAYMENT,Espana,10476.7,C525199726,0.0,0.0,M74211793,0.0,0.0,17,Savings,2018-01-07,Morning,7.0,0,10476.7,-10476.7,0,1,10476.7,0,1
7,PAYMENT,Francia,8987.61,C1611272816,0.0,0.0,M942223469,0.0,0.0,19,Savings,2018-01-13,Afternoon,6.0,0,8987.61,-8987.61,0,1,8987.61,0,1
7,PAYMENT,Francia,35532.03,C686815807,0.0,0.0,M488480779,0.0,0.0,5,Savings,2018-01-16,Morning,2.0,0,35532.03,-35532.03,0,1,35532.03,0,1
7,PAYMENT,Argentina,41749.41,C648021229,0.0,0.0,M728386983,0.0,0.0,2,Savings,2018-01-16,Night,2.0,0,41749.41,-41749.41,0,1,41749.41,0,1
7,PAYMENT,Cuba,1561.11,C1974910273,0.0,0.0,M558201620,0.0,0.0,11,Savings,2018-01-19,Night,5.0,0,1561.11,-1561.11,0,1,1561.11,0,1
7,PAYMENT,Mexico,12443.21,C1040580772,0.0,0.0,M873546155,0.0,0.0,11,Savings,2018-01-03,Afternoon,3.0,0,12443.21,-12443.21,0,1,12443.21,0,1
7,PAYMENT,Brasil,3727.23,C393476856,0.0,0.0,M1056221435,0.0,0.0,15,Savings,2018-01-05,Afternoon,5.0,0,3727.23,-3727.23,0,1,3727.23,0,1
7,PAYMENT,Peru,10.48,C821664929,0.0,0.0,M249270028,0.0,0.0,17,Savings,2018-01-07,Afternoon,7.0,0,10.48,-10.48,0,1,10.48,0,1
7,PAYMENT,Mexico,7670.1,C341062557,0.0,0.0,M502851205,0.0,0.0,3,Savings,2018-01-05,Morning,5.0,0,7670.1,-7670.1,0,1,7670.1,0,1
7,PAYMENT,Indonesia,4079.46,C1641289051,0.0,0.0,M1213794377,0.0,0.0,6,Savings,2018-01-07,Night,7.0,0,4079.46,-4079.46,0,1,4079.46,0,1
7,PAYMENT,Malasia,14851.49,C423072486,0.0,0.0,M570008325,0.0,0.0,14,Savings,2018-01-11,Morning,4.0,0,14851.49,-14851.49,0,1,14851.49,0,1
7,PAYMENT,Francia,219.68,C988355532,0.0,0.0,M1738049197,0.0,0.0,15,Savings,2018-01-05,Morning,5.0,0,219.68,-219.68,0,1,219.68,0,1
7,PAYMENT,Alemania,3431.74,C766045568,0.0,0.0,M226653811,0.0,0.0,15,Savings,2018-01-25,Night,4.0,0,3431.74,-3431.74,0,1,3431.74,0,1
7,PAYMENT,Reino Unido,21230.26,C539731466,0.0,0.0,M317443574,0.0,0.0,5,Savings,2018-01-19,Afternoon,5.0,0,21230.26,-21230.26,0,1,21230.26,0,1
7,PAYMENT,Alemania,11496.9,C1431871221,0.0,0.0,M598294540,0.0,0.0,17,Savings,2018-01-09,Morning,2.0,0,11496.9,-11496.9,0,1,11496.9,0,1
7,PAYMENT,Francia,15883.71,C1989092248,0.0,0.0,M525313125,0.0,0.0,2,Savings,2018-01-11,Morning,4.0,0,15883.71,-15883.71,0,1,15883.71,0,1
